,Spieler,Position,Pkt.,Marktwert
0,Neuer,Torwart,104.0,4.530.000
1,Früchtl,Torwart,0.0,350.000
2,R. Hoffmann,Torwart,0.0,260.000
3,Nübel,Torwart,44.0,1.370.000
5,Ulreich,Torwart,2.0,1.520.000
6,Davies,Abwehr,133.0,16.940.000
8,Lucas Hernández,Abwehr,32.0,7.930.000
9,Richards,Abwehr,1.0,1.640.000
10,Nianzou,Abwehr,0.0,8.390.000
11,Pavard,Abwehr,150.0,13.230.000
13,Mai,Abwehr,0.0,880.000
14,Alaba,Abwehr,122.0,13.230.000
16,J. Boateng,Abwehr,72.0,7.700.000
18,Süle,Abwehr,34.0,8.780.000
20,Singh,Mittelfeld,2.0,920.000
21,Fein,Mittelfeld,0.0,380.000
22,Javi Martínez,Mittelfeld,33.0,2.530.000
24,Tolisso,Mittelfeld,40.0,3.270.000
25,Goretzka,Mittelfeld,118.0,16.910.000
27,Thiago Alcântara,Mittelfeld,127.0,8.570.000
29,Musiala,Mittelfeld,0.0,2.370.000
30,Kimmich,Mittelfeld,229.0,19.780.000
32,Cuisance,Mittelfeld,21.0,4.330.000
34,Batista Meier,Sturm,-1.0,2.040.000
35,Zirkzee,Sturm,33.0,4.490.000
36,T. Müller,Sturm,201.0,18.050.000
38,Dajaku,Sturm,1.0,760.000
39,Lewandowski,Sturm,295.0,31.610.000
41,Arp,Sturm,0.0,860.000
42,Gnabry,Sturm,187.0,17.750.000
44,Coman,Sturm,88.0,13.680.000
45,L. Sané,Sturm,0.0,34.170.000
