,Spieler,Position,Pkt.,Marktwert
0,Langer,Torwart,0.0,290.000
1,Fährmann,Torwart,0.0,850.000
2,Schubert,Torwart,20.0,1.580.000
3,Pablo Ínsua,Abwehr,0.0,250.000
4,Kabak,Abwehr,97.0,6.730.000
6,Carls,Abwehr,0.0,170.000
7,Nastasić,Abwehr,46.0,2.050.000
8,Salif Sané,Abwehr,62.0,5.080.000
10,Thiaw,Abwehr,0.0,1.440.000
11,Oczipka,Abwehr,92.0,3.420.000
12,Mendyl,Abwehr,0.0,400.000
13,Mercan,Mittelfeld,-6.0,240.000
14,Boujellab,Mittelfeld,12.0,1.440.000
15,Bozdoğan,Mittelfeld,-2.0,1.240.000
16,J. Hofmann,Mittelfeld,0.0,160.000
17,Rudy,Mittelfeld,105.0,5.780.000
18,Harit,Mittelfeld,85.0,5.380.000
20,McKennie,Mittelfeld,80.0,4.740.000
22,Schöpf,Mittelfeld,14.0,1.300.000
23,Serdar,Mittelfeld,89.0,7.520.000
25,Omar Mascarell,Mittelfeld,72.0,3.570.000
26,Raman,Sturm,59.0,2.840.000
27,Uth,Sturm,84.0,6.200.000
28,Burgstaller,Sturm,28.0,1.200.000
29,Matondo,Sturm,17.0,2.020.000
30,Kutucu,Sturm,43.0,1.770.000
31,Skrzybski,Sturm,13.0,1.240.000
32,Teuchert,Sturm,0.0,420.000
