,Spieler,Position,Pkt.,Marktwert
0,Moser,Torwart,0.0,180.000
1,Busk,Torwart,0.0,480.000
2,Nicolas,Torwart,-2.0,350.000
3,Trimmel,Abwehr,153.0,8.630.000
5,Rapp,Abwehr,0.0,160.000
6,M. Friedrich,Abwehr,65.0,1.850.000
8,Gießelmann,Abwehr,54.0,2.560.000
10,Subotić,Abwehr,34.0,570.000
12,C. Lenz,Abwehr,81.0,2.560.000
13,Flecker,Mittelfeld,0.0,170.000
14,Taz,Mittelfeld,0.0,180.000
15,Dietz,Mittelfeld,0.0,160.000
16,Bülter,Mittelfeld,78.0,3.080.000
18,Ryerson,Mittelfeld,9.0,210.000
19,Gentner,Mittelfeld,98.0,4.080.000
21,Gogia,Mittelfeld,7.0,350.000
22,Andrich,Mittelfeld,60.0,1.960.000
24,Prömel,Mittelfeld,16.0,880.000
25,Kade,Mittelfeld,0.0,810.000
26,Griesbeck,Mittelfeld,0.0,1.840.000
27,S. Andersson,Sturm,131.0,6.880.000
29,Abdullahi,Sturm,11.0,260.000
30,Mees,Sturm,14.0,280.000
31,Ingvartsen,Sturm,71.0,2.920.000
32,S. Becker,Sturm,20.0,300.000
33,Ujah,Sturm,48.0,1.670.000
34,Maciejewski,Sturm,0.0,170.000
