,Spieler,Position,Pkt.,Marktwert
0,Pervan,Torwart,30.0,480.000
2,Klinger,Torwart,0.0,320.000
3,Kasten,Torwart,0.0,170.000
4,Casteels,Torwart,49.0,2.440.000
6,J. Bruma,Abwehr,39.0,870.000
7,Brooks,Abwehr,64.0,3.190.000
8,Pongračić,Abwehr,26.0,4.570.000
10,William,Abwehr,39.0,800.000
12,Paulo Otávio,Abwehr,23.0,1.980.000
13,Mbabu,Abwehr,81.0,5.430.000
15,Roussillon,Abwehr,55.0,3.000.000
16,Tisserand,Abwehr,30.0,1.300.000
18,Schlager,Mittelfeld,52.0,4.790.000
19,L. Horn,Mittelfeld,0.0,430.000
20,R. Steffen,Mittelfeld,88.0,5.700.000
22,Ignacio Camacho,Mittelfeld,0.0,1.180.000
23,Malli,Mittelfeld,17.0,730.000
24,Arnold,Mittelfeld,155.0,10.490.000
26,Gerhardt,Mittelfeld,43.0,1.950.000
27,Guilavogui,Mittelfeld,62.0,3.280.000
28,Joao Victor,Sturm,52.0,2.160.000
29,J. Yeboah,Sturm,0.0,280.000
30,Mehmedi,Sturm,54.0,2.020.000
31,Klaus,Sturm,22.0,970.000
32,Brekalo,Sturm,83.0,4.110.000
33,Weghorst,Sturm,160.0,16.010.000
35,Marmoush,Sturm,2.0,630.000
36,Ginczek,Sturm,37.0,3.560.000
