,Spieler,Position,Pkt.,Marktwert
0,Krahl,Torwart,0.0,510.000
1,T. Horn,Torwart,43.0,1.880.000
3,Jorge Meré,Abwehr,17.0,410.000
5,João Queirós,Abwehr,0.0,160.000
6,Bornauw,Abwehr,78.0,4.570.000
8,B. Schmitz,Abwehr,16.0,420.000
9,J. Horn,Abwehr,0.0,310.000
10,Bisseck,Abwehr,0.0,190.000
11,F. Sörensen,Abwehr,0.0,420.000
12,Katterbach,Abwehr,20.0,1.380.000
13,Voloder,Abwehr,0.0,740.000
14,L. Sobiech,Abwehr,2.0,230.000
15,Czichos,Abwehr,49.0,1.600.000
17,Ehizibue,Abwehr,56.0,1.980.000
19,Drexler,Mittelfeld,62.0,2.080.000
21,Schaub,Mittelfeld,27.0,810.000
23,Koziello,Mittelfeld,0.0,200.000
24,Ostrák,Mittelfeld,0.0,170.000
25,Jakobs,Mittelfeld,41.0,1.320.000
27,Risse,Mittelfeld,12.0,770.000
28,Clemens,Mittelfeld,3.0,460.000
29,Höger,Mittelfeld,15.0,740.000
30,Hector,Mittelfeld,103.0,6.240.000
32,Kainz,Mittelfeld,113.0,5.290.000
34,S. Özcan,Mittelfeld,0.0,610.000
35,Rexhbecaj,Mittelfeld,28.0,1.530.000
36,Skhiri,Mittelfeld,85.0,3.470.000
38,Thielmann,Sturm,8.0,860.000
39,Schindler,Sturm,15.0,390.000
40,Terodde,Sturm,39.0,940.000
41,Jhon Córdoba,Sturm,135.0,8.980.000
43,Modeste,Sturm,56.0,3.510.000
44,Lemperle,Sturm,0.0,250.000
