,Spieler,Position,Pkt.,Marktwert
0,Grahl,Torwart,0.0,180.000
1,Hornung,Torwart,0.0,160.000
2,Bredlow,Torwart,0.0,850.000
3,Mavropanos,Abwehr,0.0,1.500.000
4,Awoudja,Abwehr,0.0,250.000
5,Mack,Abwehr,0.0,180.000
6,B. Sosa,Abwehr,0.0,620.000
7,Maffeo,Abwehr,0.0,940.000
8,Ailton,Abwehr,0.0,500.000
9,Karazor,Abwehr,0.0,1.730.000
10,Badstuber,Abwehr,0.0,990.000
11,Kempf,Abwehr,0.0,2.490.000
12,Mola,Abwehr,0.0,900.000
13,Stenzel,Abwehr,0.0,2.080.000
14,Kaminski,Abwehr,0.0,640.000
15,Endo,Mittelfeld,0.0,3.130.000
16,Wamangituka,Mittelfeld,0.0,3.350.000
17,Egloff,Mittelfeld,0.0,400.000
18,Churlinov,Mittelfeld,1.0,280.000
19,Förster,Mittelfeld,0.0,2.860.000
20,M. Klimowicz,Mittelfeld,0.0,310.000
21,Castro,Mittelfeld,0.0,3.390.000
22,Kopacz,Mittelfeld,0.0,270.000
23,Nartey,Mittelfeld,0.0,300.000
24,Mangala,Mittelfeld,0.0,3.560.000
25,Thommy,Mittelfeld,140.0,8.270.000
27,Didavi,Mittelfeld,0.0,3.870.000
28,Klement,Mittelfeld,0.0,920.000
29,González,Sturm,0.0,6.060.000
30,Kalajdzic,Sturm,0.0,1.620.000
31,T. Coulibaly,Sturm,0.0,830.000
32,Al Ghaddioui,Sturm,0.0,2.540.000
33,Massimo,Sturm,0.0,250.000
