,Spieler,Position,Pkt.,Marktwert
0,Rehnen,Torwart,0,160.000
1,S. Ortega,Torwart,0,2.920.000
2,Linner,Torwart,0,230.000
3,Özkan,Abwehr,0,160.000
4,Laursen,Abwehr,0,1.500.000
5,de Medina,Abwehr,0,1.800.000
6,Brunner,Abwehr,0,1.730.000
7,J. Nilsson,Abwehr,0,1.750.000
8,Pieper,Abwehr,0,2.780.000
9,Lucoqui,Abwehr,0,300.000
10,Behrendt,Abwehr,0,1.080.000
11,Salger,Abwehr,0,200.000
12,Consbruch,Mittelfeld,0,170.000
13,Seufert,Mittelfeld,0,570.000
14,Kunze,Mittelfeld,0,410.000
15,Edmundsson,Mittelfeld,0,1.500.000
16,Yabo,Mittelfeld,0,1.320.000
17,Prietl,Mittelfeld,0,2.570.000
18,Hartel,Mittelfeld,0,4.380.000
19,Gebauer,Sturm,0,2.950.000
20,Owusu,Sturm,0,180.000
21,Soukou,Sturm,0,1.820.000
22,Schipplock,Sturm,0,440.000
23,Seb. Müller,Sturm,0,180.000
24,Voglsammer,Sturm,0,4.070.000
25,F. Klos,Sturm,0,6.120.000
26,Niemann,Sturm,0,500.000
