,Spieler,Position,Pkt.,Marktwert
0,Flekken,Torwart,54.0,2.170.000
2,N. Thiede,Torwart,2.0,290.000
3,Frommann,Torwart,0.0,170.000
4,Schwolow,Torwart,81.0,3.460.000
6,Koch,Abwehr,93.0,4.370.000
8,Lienhart,Abwehr,59.0,2.480.000
9,G. Itter,Abwehr,6.0,250.000
10,Kübler,Abwehr,2.0,360.000
11,K. Schlotterbeck,Abwehr,69.0,3.140.000
13,Dräger,Abwehr,11.0,380.000
15,C. Günter,Abwehr,120.0,6.270.000
17,Heintz,Abwehr,81.0,3.080.000
18,J. Schmid,Abwehr,124.0,6.670.000
20,Okoroji,Abwehr,0.0,190.000
21,N. Schlotterbeck,Abwehr,15.0,500.000
22,Gulde,Abwehr,68.0,2.360.000
24,Tempelmann,Mittelfeld,2.0,240.000
25,Sallai,Mittelfeld,48.0,2.080.000
26,Höfler,Mittelfeld,94.0,4.210.000
28,Keitel,Mittelfeld,4.0,690.000
29,Abrashi,Mittelfeld,18.0,650.000
30,Terrazzino,Mittelfeld,0.0,190.000
31,Grifo,Mittelfeld,97.0,7.990.000
33,Frantz,Mittelfeld,16.0,380.000
34,Kwon,Sturm,55.0,1.700.000
35,Daferner,Sturm,0.0,170.000
36,Jeong,Sturm,0.0,320.000
37,Höler,Sturm,120.0,6.400.000
39,Borrello,Sturm,7.0,470.000
40,Waldschmidt,Sturm,74.0,5.890.000
41,Petersen,Sturm,134.0,8.990.000
