,Spieler,Position,Pkt.,Marktwert
0,Olschowsky,Torwart,0.0,170.000
1,Sippel,Torwart,0.0,600.000
2,Sommer,Torwart,112.0,5.560.000
4,Grün,Torwart,0.0,190.000
5,A. Poulsen,Abwehr,0.0,180.000
6,Lang,Abwehr,10.0,290.000
7,Doucouré,Abwehr,0.0,600.000
8,Elvedi,Abwehr,106.0,6.710.000
10,Beyer,Abwehr,3.0,760.000
11,Lainer,Abwehr,64.0,4.210.000
13,Ginter,Abwehr,101.0,7.750.000
15,Wendt,Abwehr,60.0,2.440.000
17,Bensebaini,Abwehr,85.0,7.980.000
19,Jantschke,Abwehr,45.0,1.290.000
20,Scally,Abwehr,0.0,260.000
21,Neuhaus,Mittelfeld,116.0,10.880.000
23,Bennetts,Mittelfeld,0.0,280.000
24,Zakaria,Mittelfeld,90.0,5.680.000
26,Hofmann,Mittelfeld,97.0,8.610.000
28,Kramer,Mittelfeld,47.0,2.730.000
29,Bénes,Mittelfeld,62.0,3.480.000
30,Traoré,Mittelfeld,5.0,1.500.000
31,Pléa,Sturm,142.0,12.590.000
33,Müsel,Sturm,0.0,430.000
34,Villalba,Sturm,0.0,160.000
35,Thuram,Sturm,147.0,14.230.000
37,P. Herrmann,Sturm,101.0,7.460.000
39,Stindl,Sturm,104.0,12.240.000
41,Embolo,Sturm,82.0,10.420.000
