,Spieler,Position,Pkt.,Marktwert
0,Bürki,Torwart,48.0,3.400.000
2,Hitz,Torwart,13.0,300.000
3,Unbehaun,Torwart,0.0,230.000
4,Hupe,Torwart,0.0,320.000
5,Zagadou,Abwehr,63.0,6.540.000
7,Balerdi,Abwehr,4.0,1.460.000
8,Passlack,Abwehr,0.0,470.000
9,Mateu Morey,Abwehr,4.0,2.480.000
10,Hummels,Abwehr,133.0,12.260.000
12,Can,Abwehr,57.0,12.790.000
14,N. Schulz,Abwehr,22.0,1.960.000
16,Meunier,Abwehr,0.0,14.210.000
17,Schmelzer,Abwehr,18.0,880.000
19,Piszczek,Abwehr,95.0,4.690.000
21,Akanji,Abwehr,76.0,4.460.000
22,Pherai,Mittelfeld,0.0,570.000
23,Raschl,Mittelfeld,0.0,520.000
24,Witsel,Mittelfeld,117.0,13.620.000
26,Burnić,Mittelfeld,0.0,280.000
27,Delaney,Mittelfeld,29.0,3.390.000
28,Raphaël Guerreiro,Mittelfeld,162.0,14.920.000
30,Dahoud,Mittelfeld,25.0,2.950.000
31,Brandt,Mittelfeld,134.0,15.370.000
33,Sancho,Sturm,222.0,22.150.000
35,Reus,Sturm,116.0,17.250.000
37,Reyna,Sturm,25.0,8.430.000
38,Haaland,Sturm,104.0,28.050.000
40,Hazard,Sturm,151.0,14.780.000
41,M. Wolf,Sturm,30.0,1.350.000
42,Sergio Gómez,Sturm,0.0,400.000
43,Moukoko,Sturm,0.0,2.440.000
