,Spieler,Position,Pkt.,Marktwert
0,Plogmann,Torwart,0.0,170.000
1,Pavlenka,Torwart,58.0,2.290.000
3,Kapino,Torwart,3.0,320.000
4,Augustinsson,Abwehr,29.0,2.320.000
5,T. Jacobsen,Abwehr,0.0,170.000
6,Friedl,Abwehr,76.0,3.860.000
8,Moisander,Abwehr,57.0,2.550.000
9,Beijmo,Abwehr,0.0,160.000
10,Veljković,Abwehr,34.0,1.630.000
11,Beste,Abwehr,0.0,180.000
12,Agu,Abwehr,0.0,2.330.000
13,Gebre Selassie,Abwehr,72.0,3.170.000
14,Nawrocki,Abwehr,0.0,440.000
15,C. Groß,Abwehr,14.0,680.000
16,Toprak,Abwehr,16.0,2.180.000
17,Klaassen,Mittelfeld,132.0,8.360.000
19,Straudi,Mittelfeld,0.0,330.000
20,Mbom,Mittelfeld,0.0,180.000
21,Möhwald,Mittelfeld,1.0,460.000
22,R. Schmid,Mittelfeld,0.0,360.000
23,Käuper,Mittelfeld,0.0,170.000
24,Goller,Mittelfeld,6.0,290.000
25,M. Eggestein,Mittelfeld,61.0,4.840.000
26,Schönfelder,Mittelfeld,0.0,250.000
27,Ihorst,Sturm,1.0,330.000
28,Woltemade,Sturm,3.0,500.000
29,Mina,Sturm,0.0,310.000
30,Harnik,Sturm,0.0,1.010.000
31,Sargent,Sturm,70.0,4.210.000
32,Rashica,Sturm,121.0,12.150.000
34,J. Eggestein,Sturm,16.0,640.000
35,Ōsako,Sturm,105.0,6.520.000
37,Selke,Sturm,44.0,2.610.000
38,Bittencourt,Sturm,68.0,3.770.000
40,Füllkrug,Sturm,47.0,8.460.000
41,Osabutey,Sturm,0.0,200.000
