,Spieler,Position,Pkt.,Marktwert
0,Pentke,Torwart,23.0,250.000
2,D. Gril,Torwart,0.0,160.000
3,Kobel,Torwart,0.0,1.820.000
4,Klein,Torwart,0.0,170.000
5,Baumann,Torwart,92.0,3.010.000
7,Bičakčić,Abwehr,55.0,2.460.000
9,Lucas Ribeiro,Abwehr,8.0,460.000
11,K. Adams,Abwehr,29.0,780.000
13,Brenet,Abwehr,0.0,230.000
14,Bogarde,Abwehr,3.0,880.000
15,Posch,Abwehr,65.0,2.580.000
16,Vogt,Abwehr,63.0,3.810.000
17,Nordtveit,Abwehr,23.0,860.000
18,Kadeřábek,Abwehr,97.0,5.790.000
20,Stafylidis,Abwehr,13.0,300.000
22,B. Hübner,Abwehr,55.0,4.280.000
24,Akpoguma,Abwehr,27.0,660.000
25,Felipe Pires,Mittelfeld,0.0,200.000
26,Skov,Mittelfeld,131.0,10.530.000
27,Baumgartner,Mittelfeld,84.0,5.770.000
29,Elmkies,Mittelfeld,0.0,200.000
30,Zuber,Mittelfeld,29.0,1.860.000
31,Grillitsch,Mittelfeld,95.0,4.580.000
32,Geiger,Mittelfeld,43.0,2.660.000
34,Samassékou,Mittelfeld,39.0,2.810.000
35,Beier,Sturm,2.0,1.450.000
36,Dabbur,Sturm,51.0,8.120.000
38,Adamyan,Sturm,35.0,1.010.000
40,D. Otto,Sturm,0.0,250.000
41,Belfodil,Sturm,6.0,2.370.000
42,Bebou,Sturm,91.0,6.060.000
44,Bruun Larsen,Sturm,27.0,2.430.000
45,Kramarić,Sturm,116.0,14.870.000
47,Klauss,Sturm,0.0,1.340.000
