,Spieler,Position,Pkt.,Marktwert
0,Koubek,Torwart,24.0,320.000
2,Gikiewicz,Torwart,76.0,2.850.000
4,Luthe,Torwart,25.0,1.110.000
5,Giefer,Torwart,0.0,260.000
6,Leneis,Torwart,0.0,160.000
7,Teigl,Abwehr,-2.0,210.000
8,Danso,Abwehr,0.0,1.920.000
9,Oxford,Abwehr,-2.0,430.000
10,Uduokhai,Abwehr,69.0,2.830.000
11,Asta,Abwehr,0.0,550.000
12,Stanić,Abwehr,0.0,190.000
13,Iago,Abwehr,20.0,380.000
15,Pedersen,Abwehr,2.0,190.000
16,Suchý,Abwehr,5.0,330.000
17,Gouweleeuw,Abwehr,42.0,1.820.000
18,Framberger,Abwehr,36.0,1.260.000
19,P. Max,Abwehr,152.0,9.450.000
21,F. Götze,Abwehr,0.0,320.000
22,Jensen,Mittelfeld,9.0,210.000
23,Strobl,Mittelfeld,20.0,2.540.000
24,Baier,Mittelfeld,48.0,1.030.000
25,Vargas,Mittelfeld,61.0,2.750.000
27,D. Caligiuri,Mittelfeld,86.0,7.430.000
29,Morávek,Mittelfeld,14.0,330.000
30,Löwen,Mittelfeld,37.0,1.570.000
31,R. Khedira,Mittelfeld,52.0,1.660.000
32,Carlos Gruezo,Mittelfeld,16.0,1.020.000
33,Gregoritsch,Sturm,38.0,3.250.000
34,Malone,Sturm,0.0,200.000
35,Cheon,Sturm,0.0,230.000
36,Schieber,Sturm,2.0,490.000
37,Finnbogason,Sturm,39.0,3.740.000
38,Sarenren-Bazee,Sturm,12.0,1.410.000
39,Richter,Sturm,26.0,2.010.000
40,Hahn,Sturm,2.0,490.000
41,Sergio Córdova,Sturm,29.0,570.000
42,Niederlechner,Sturm,144.0,8.990.000
