,Spieler,Position,Pkt.,Marktwert
0,Smarsch,Torwart,3.0,170.000
1,Körber,Torwart,0.0,170.000
2,Jarstein,Torwart,64.0,1.770.000
4,Klatte,Torwart,0.0,160.000
5,Boyata,Abwehr,118.0,7.280.000
7,Pekarik,Abwehr,25.0,1.600.000
8,Albrecht,Abwehr,0.0,190.000
9,Rekik,Abwehr,41.0,810.000
11,Baak,Abwehr,0.0,480.000
12,Torunarigha,Abwehr,72.0,5.310.000
14,Klünter,Abwehr,30.0,860.000
15,Plattenhardt,Abwehr,54.0,4.010.000
16,Mittelstädt,Abwehr,81.0,2.780.000
18,N. Stark,Abwehr,42.0,2.390.000
20,Duda,Mittelfeld,13.0,3.440.000
21,Samardžić,Mittelfeld,2.0,1.650.000
22,M. Čović,Mittelfeld,0.0,170.000
23,Tousart,Mittelfeld,0.0,11.250.000
24,A. Maier,Mittelfeld,24.0,2.010.000
25,Ascacíbar,Mittelfeld,18.0,1.800.000
26,Darida,Mittelfeld,83.0,4.380.000
28,Köpke,Sturm,-3.0,230.000
29,Ngankam,Sturm,6.0,1.400.000
30,Piątek,Sturm,43.0,8.030.000
31,Redan,Sturm,1.0,480.000
32,Leckie,Sturm,7.0,270.000
33,Lukébakio,Sturm,109.0,8.240.000
34,Dárdai,Sturm,0.0,220.000
35,Dilrosun,Sturm,63.0,3.110.000
36,Matheus Cunha,Sturm,81.0,9.560.000
38,Kiprit,Sturm,0.0,300.000
