,Spieler,Position,Pkt.,Marktwert
0,L. Grill,Torwart,0.0,240.000
1,Lomb,Torwart,0.0,220.000
2,Hradecky,Torwart,102.0,4.440.000
4,Tapsoba,Abwehr,32.0,5.910.000
5,Sinkgraven,Abwehr,30.0,1.720.000
6,Retsos,Abwehr,4.0,450.000
7,Dragović,Abwehr,18.0,820.000
8,S. Bender,Abwehr,124.0,8.250.000
10,Jedvaj,Abwehr,79.0,2.700.000
12,Wendell,Abwehr,70.0,3.990.000
13,Tah,Abwehr,72.0,5.190.000
15,L. Bender,Abwehr,73.0,4.500.000
17,M. Weiser,Abwehr,56.0,3.110.000
19,Wirtz,Mittelfeld,19.0,10.410.000
20,Palacios,Mittelfeld,11.0,2.780.000
21,Paulinho,Mittelfeld,46.0,3.230.000
23,Baumgartlinger,Mittelfeld,73.0,3.830.000
25,Charles Aránguiz,Mittelfeld,69.0,6.030.000
27,Havertz,Mittelfeld,144.0,18.100.000
29,Demirbay,Mittelfeld,95.0,10.050.000
31,Amiri,Mittelfeld,105.0,8.160.000
32,Bailey,Sturm,64.0,7.950.000
33,Pohjanpalo,Sturm,0.0,1.030.000
34,Diaby,Sturm,96.0,11.900.000
36,Bellarabi,Sturm,79.0,4.380.000
37,Volland,Sturm,127.0,16.050.000
39,Lucas Alario,Sturm,88.0,7.120.000
