,Spieler,Position,Pkt.,Marktwert
0,Wiedwald,Torwart,1.0,220.000
1,Trapp,Torwart,50.0,2.790.000
2,Rönnow,Torwart,28.0,560.000
4,Hasebe,Abwehr,46.0,2.570.000
5,Falette,Abwehr,6.0,880.000
6,Hinteregger,Abwehr,135.0,9.530.000
8,Abraham,Abwehr,47.0,2.800.000
10,N'Dicka,Abwehr,39.0,2.340.000
12,Tuta,Abwehr,0.0,730.000
13,Touré,Abwehr,61.0,2.300.000
15,F. Otto,Abwehr,0.0,200.000
16,N. Stendera,Mittelfeld,0.0,340.000
17,Lucas Torró,Mittelfeld,7.0,720.000
18,Ćavar,Mittelfeld,0.0,180.000
19,Willems,Mittelfeld,0.0,420.000
20,Kamada,Mittelfeld,83.0,6.220.000
22,Barkok,Mittelfeld,0.0,430.000
23,Rode,Mittelfeld,90.0,4.760.000
25,Chandler,Mittelfeld,85.0,4.220.000
27,da Costa,Mittelfeld,57.0,4.390.000
28,Kohr,Mittelfeld,45.0,2.210.000
29,Durm,Mittelfeld,10.0,280.000
30,Zalazar,Mittelfeld,0.0,160.000
31,Sow,Mittelfeld,76.0,3.760.000
32,Kostić,Mittelfeld,174.0,15.040.000
34,Gaćinović,Mittelfeld,38.0,1.800.000
35,Ilsanker,Mittelfeld,58.0,4.260.000
36,Makanda,Sturm,0.0,180.000
37,Ache,Sturm,0.0,950.000
38,André Silva,Sturm,120.0,12.640.000
40,Joveljić,Sturm,2.0,620.000
41,Gonçalo Paciência,Sturm,84.0,5.150.000
43,Dost,Sturm,108.0,8.710.000
