,Spieler,Position,Pkt.,Marktwert
0,Tschauner,Torwart,0.0,360.000
1,Mvogo,Torwart,-1.0,430.000
2,T. Schreiber,Torwart,0.0,160.000
3,Gulácsi,Torwart,98.0,4.680.000
5,Josep Martienz,Torwart,0.0,170.000
6,Henrichs,Abwehr,0.0,7.250.000
7,Konaté,Abwehr,24.0,4.760.000
8,Upamecano,Abwehr,102.0,8.500.000
10,Orban,Abwehr,45.0,6.300.000
12,Klostermann,Abwehr,112.0,9.720.000
14,Halstenberg,Abwehr,128.0,8.530.000
16,Mukiele,Abwehr,108.0,7.960.000
18,Nkunku,Mittelfeld,145.0,14.120.000
20,Dani Olmo,Mittelfeld,45.0,14.290.000
22,Krauß,Mittelfeld,1.0,400.000
23,H. Wolf,Mittelfeld,0.0,3.270.000
24,Haidara,Mittelfeld,38.0,2.400.000
25,T. Adams,Mittelfeld,30.0,3.730.000
26,Laimer,Mittelfeld,79.0,4.610.000
28,Sabitzer,Mittelfeld,166.0,13.870.000
30,Forsberg,Mittelfeld,86.0,7.410.000
32,Kampl,Mittelfeld,48.0,9.310.000
34,Lookman,Sturm,6.0,1.780.000
35,Augustin,Sturm,0.0,1.250.000
36,Y. Poulsen,Sturm,78.0,8.060.000
38,Borkowski,Sturm,1.0,840.000
39,Hwang,Sturm,0.0,13.390.000
